,year_month,passengers,lag_1,lag_3,lag_6,lag_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_6,exp_mean,exp_std,exp_min,exp_max
152,2012-09-01,7779585,7963773.0,7362956.0,7385953.0,7344350.0,8035560.666666667,7764471.666666667,7629079.75,547649.2643660731,4110040.927631579,1698976.220221741,2109035.0,8779953.0
153,2012-10-01,7898264,7779585.0,8779953.0,7668919.0,7335382.0,8174437.0,7830077.0,7665349.333333333,515892.6743155352,4134024.8758169934,1719168.4290149065,2109035.0,8779953.0
154,2012-11-01,7716781,7898264.0,7963773.0,7425276.0,7204116.0,7880540.666666667,7868301.166666667,7712256.166666667,510026.9211645614,4158467.987012987,1740181.7569810364,2109035.0,8779953.0
155,2012-12-01,7972180,7716781.0,7779585.0,7362956.0,7838674.0,7798210.0,7916885.333333333,7754978.25,471839.34483370715,4181424.8451612904,1757912.5082625921,2109035.0,8779953.0
156,2013-01-01,8221355,7972180.0,7898264.0,8779953.0,8291969.0,7862408.333333333,8018422.666666667,7766103.75,386658.15655110974,4205724.557692308,1778323.2296928987,2109035.0,8779953.0
157,2013-02-01,6584017,8221355.0,7716781.0,7963773.0,6947636.0,7970105.333333333,7925323.0,7760219.25,177070.85918477748,4231301.821656051,1801352.364029412,2109035.0,8779953.0
158,2013-03-01,7028475,6584017.0,7972180.0,7779585.0,7385953.0,7592517.333333333,7695363.666666667,7729917.666666667,572207.3154155758,4246192.424050633,1805335.3488251376,2109035.0,8779953.0
159,2013-04-01,7290295,7028475.0,8221355.0,7898264.0,7668919.0,7277949.0,7570178.666666667,7700127.833333333,629400.6060476103,4263691.0566037735,1813089.5697634574,2109035.0,8779953.0
160,2013-05-01,7545499,7290295.0,6584017.0,7716781.0,7425276.0,6967595.666666667,7468850.5,7668575.833333333,614787.1357183164,4282607.33125,1823148.6652836774,2109035.0,8779953.0
161,2013-06-01,7392401,7545499.0,7028475.0,7972180.0,7362956.0,7288089.666666667,7440303.5,7678594.416666667,604868.908721825,4302873.739130435,1835544.593589578,2109035.0,8779953.0
162,2013-07-01,8396631,7392401.0,7290295.0,8221355.0,8779953.0,7409398.333333333,7343673.666666667,7681048.166666667,546389.984133217,4321944.895061729,1845865.0964624295,2109035.0,8779953.0
163,2013-08-01,7722498,8396631.0,7545499.0,6584017.0,7963773.0,7778177.0,7372886.333333333,7649104.666666667,604315.2186370101,4346942.969325153,1867630.8657213198,2109035.0,8779953.0
164,2013-09-01,7687740,7722498.0,7392401.0,7028475.0,7779585.0,7837176.666666667,7562633.166666667,7628998.416666667,471142.17497842276,4367525.62195122,1880458.4222527666,2109035.0,8779953.0
165,2013-10-01,8148008,7687740.0,8396631.0,7290295.0,7898264.0,7935623.0,7672510.666666667,7621344.666666667,391857.91504306684,4387648.133333334,1892451.637023357,2109035.0,8779953.0
166,2013-11-01,8003292,8148008.0,7722498.0,7545499.0,7716781.0,7852748.666666667,7815462.833333333,7642156.666666667,380830.6958066802,4410300.903614458,1909149.1493841934,2109035.0,8779953.0
