,year_month,passengers,lag_1,lag_3,lag_6,lag_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_6,exp_mean,exp_std,exp_min,exp_max
170,2014-03-01,524001,475615.0,520936.0,504237.0,501363.0,511481.6666666667,509305.1666666667,501127.3333333333,22839.196040287196,445069.8058823529,70629.52875946843,253080.0,695109.0
171,2014-04-01,502363,524001.0,537894.0,524287.0,471197.0,512503.3333333333,512599.1666666667,503013.8333333333,23380.85955149361,445531.3918128655,70679.69698147154,253080.0,695109.0
172,2014-05-01,490446,502363.0,475615.0,492862.0,481868.0,500659.6666666667,508945.1666666667,505611.0,22897.101697958853,445861.8081395349,70605.83196240466,253080.0,695109.0
173,2014-06-01,485259,490446.0,524001.0,520936.0,462694.0,505603.3333333333,508542.5,506325.8333333333,23254.953904491056,446119.5202312139,70481.83998309213,253080.0,695109.0
174,2014-07-01,564753,485259.0,502363.0,537894.0,538794.0,492689.3333333333,502596.3333333333,508206.25,24001.439737371405,446344.4597701149,70340.449345881,253080.0,695109.0
175,2014-08-01,569541,564753.0,490446.0,475615.0,501781.0,513486.0,507072.8333333333,510369.5,32795.23493690312,447021.08,70706.86612674067,253080.0,695109.0
176,2014-09-01,549275,569541.0,485259.0,524001.0,504237.0,539851.0,522727.1666666667,516016.1666666667,36932.27539384312,447717.2159090909,71106.84274565965,253080.0,695109.0
177,2014-10-01,557692,549275.0,564753.0,502363.0,524287.0,561189.6666666666,526939.5,519769.3333333333,38514.06787006539,448290.98870056495,71314.2753279126,253080.0,695109.0
178,2014-11-01,522154,557692.0,569541.0,490446.0,492862.0,558836.0,536161.0,522553.0833333333,38074.04010608807,448905.6011235955,71583.74236995056,253080.0,695109.0
179,2014-12-01,568984,522154.0,549275.0,485259.0,520936.0,543040.3333333334,541445.6666666666,524994.0833333334,32208.48106736282,449314.8100558659,71592.02643865398,253080.0,695109.0
180,2015-01-01,655427,568984.0,557692.0,564753.0,537894.0,549610.0,555399.8333333334,528998.0833333334,18000.20528123692,449979.6388888889,71946.81477304042,253080.0,695109.0
181,2015-02-01,562054,655427.0,522154.0,569541.0,475615.0,582188.3333333334,570512.1666666666,538792.5,45094.77482554566,451114.7071823204,73353.82385410684,253080.0,695109.0
182,2015-03-01,561202,562054.0,568984.0,549275.0,524001.0,595488.3333333334,569264.3333333334,545995.75,45230.40674885278,451724.26373626373,73611.67816015585,253080.0,695109.0
183,2015-04-01,550584,561202.0,655427.0,557692.0,502363.0,592894.3333333334,571252.1666666666,549095.8333333334,44431.22180816848,452322.5027322404,73853.91018864514,253080.0,695109.0
